Trailer_id,Title,ReleaseYear,Studio,OpeningTheaters,ViewCount,LikeCount,DislikeCount,LikeDislikeRatio,CommentCount,positiveWordsBL,negativeWordsBL,netSentimentBL,scoreAbsoluteAFINN,budget,OpeningWeekendGross,genre,mpaaRating,TotalGross
XmIIgE7eSak,Oblivion,2013,Uni.,"3,783",7361759,17392,890,19.54,4539,3569,2563,1006,3290,120000000,"$37,054,485 ",Sci-Fi,PG-13,"$89,107,235 "
tV_IhWE4LP0,Miss Peregrine's Home for Peculiar Children,2016,Fox,"3,522",14489611,84196,2742,30.71,12309,6613,3937,2676,10342,110000000,"$28,871,140 ",Fantasy,PG-13,"$87,242,834 "
vRnhEjP3R-c,Sisters,2015,Uni.,"2,962",12500493,20292,2266,8.95,1453,727,702,25,1101,30000000,"$13,922,855 ",Comedy,R,"$87,044,645 "
k7yC0iiK7a4,The Campaign,2012,WB,"3,205",3899470,8285,379,21.86,1674,815,679,136,1003,95000000,"$26,588,460 ",Comedy,R,"$86,907,746 "
DBfsgcswlYQ,The Accountant,2016,WB,"3,332",10266575,32681,1085,30.12,4192,2625,1220,1405,3954,44000000,"$24,710,273 ",Drama,R,"$86,260,045 "
lGXHVlEklgQ,Dumb and Dumber To,2014,Uni.,"3,154",30462205,82584,5544,14.9,7738,4886,5023,-137,6392,40000000,"$36,111,775 ",Comedy,PG-13,"$86,208,010 "
1xv_FeBGzfk,The Emoji Movie,2017,Sony,"4,075",43617806,114119,62188,1.84,17492,4466,6134,-1668,-717,50000000,"$24,531,923 ",Animation,PG,"$86,089,513 "
F6lNi7cZ-Ho,Annie (2014),2014,Sony,"3,116",2926766,9087,1123,8.09,2395,1725,1741,-16,624,65000000,"$15,861,939 ",Other,PG,"$85,911,262 "
xA6cOSEZhzM,Alvin and the Chipmunks: The Road Chip,2015,Fox,"3,653",5300093,17796,4071,4.37,3027,895,1002,-107,323,90000000,"$14,287,159 ",Other,PG,"$85,886,987 "
SKu5lGfRBxc,Fury (2014),2014,Sony,"3,173",2743641,5084,396,12.84,1276,913,1165,-252,-453,68000000,"$23,702,421 ",Drama,R,"$85,817,906 "
5kIe6UZHSXw,Power Rangers (2017),2017,LGF,"3,693",42892230,178058,16762,10.62,30964,15972,13343,2629,7156,100000000,"$40,300,288 ",Action,PG-13,"$85,364,450 "
TgEqVYcryWc,The Expendables 2,2012,LGF,"3,316",8519333,15685,653,24.02,5465,2464,2298,166,608,100000000,"$28,591,370 ",Action,R,"$85,028,192 "
N8d6Bpl2eAo,Tammy,2014,WB (NL),"3,465",4574129,10683,914,11.69,726,527,663,-136,870,20000000,"$21,577,049 ",Comedy,R,"$84,525,432 "
HBXVM7oUPVk,Ferdinand,2017,Fox,"3,621",6509290,10027,1113,9.01,928,357,234,123,679,111000000,"$13,401,586 ",Animation,PG,"$84,410,380 "
paFgQNPGlsg,Annabelle,2014,WB (NL),"3,185",33851605,79495,10500,7.57,8113,2451,4692,-2241,-3097,6500000,"$37,134,255 ",Horror,R,"$84,273,813 "
juxTC7hYGTE,The Other Woman (2014),2014,Fox,"3,205",13631376,71752,2981,24.07,4170,1819,1798,21,1133,40000000,"$24,763,752 ",Comedy,PG-13,"$83,911,193 "
Xs7fzOrUopc,Wrath of the Titans,2012,WB,"3,545",14197310,24116,1298,18.58,8332,5170,4571,599,1742,150000000,"$33,457,188 ",Fantasy,PG-13,"$83,670,083 "
fBbi4NeebAk,Insidious Chapter 2,2013,FD,"3,049",18675277,45010,2737,16.45,10324,5071,7300,-2229,-375,5000000,"$40,272,103 ",Horror,PG-13,"$83,586,447 "
retX8Wj7JdM,Penguins of Madagascar,2014,Fox,"3,764",9746075,22921,1178,19.46,1933,785,552,233,1425,132000000,"$25,447,444 ",Animation,PG,"$83,350,911 "
c9Q3c98IMZg,Turbo,2013,Fox,"3,806",7946238,10155,1418,7.16,574,282,130,152,467,135000000,"$21,312,625 ",Animation,PG,"$83,028,128 "
UKIAZjs__Xc,Let's Be Cops,2014,Fox,"3,094",5412573,10036,714,14.06,1016,533,482,51,860,17000000,"$17,813,722 ",Comedy,R,"$82,390,774 "
HeaugHGd1Kw,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Par.,"4,071",28304869,136521,11833,11.54,22361,11918,9192,2726,8649,135000000,"$35,316,382 ",Action,PG-13,"$82,051,601 "
SDofO3P2HpE,Maze Runner: The Scorch Trials,2015,Fox,"3,791",13861887,53931,1283,42.04,6025,2851,1643,1208,4542,61000000,"$30,316,510 ",Action,PG-13,"$81,697,192 "
S3AVcCggRnU,Ted 2,2015,Uni.,"3,442",30860539,136686,7463,18.32,7473,2757,2740,17,3399,68000000,"$33,507,870 ",Comedy,R,"$81,476,385 "
IjHgzkQM2Sg,The Mummy (2017),2017,Uni.,"4,035",43599960,230647,30296,7.61,24217,11527,13409,-1882,-1491,125000000,"$31,688,375 ",Action,PG-13,"$80,227,895 "
7Cn716jv61s,Goosebumps,2015,Sony,"3,501",16380870,45310,3920,11.56,6958,4105,4378,-273,3022,58000000,"$23,618,556 ",Comedy,PG,"$80,080,379 "
kK7y8Ou0VvM,Jack Reacher,2012,Par.,"3,352",6950111,6310,1597,3.95,2843,2672,2008,664,1757,60000000,"$15,210,156 ",Action,PG-13,"$80,070,736 "
N6tVdffCr_M,Dark Shadows,2012,WB,"3,755",1362301,7460,222,33.6,486,404,257,147,608,150000000,"$29,685,274 ",Comedy,PG-13,"$79,727,149 "
